#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-10-14T19:43:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ543d562336ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=VII/155/rc3
#-nav=cat:VII/155&tab:{VII/155/rc3}&key:source=VII/155&HTTPPRM:&&-ref=VIZ543d562336ef&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RA2000&-out=DE2000&-out=name&-out=altname&-out=PGC&-out=type&-out=T&-out=lumcl&-out=D25&-out=R25&-out=PA&-out=BT&-out=BT_code&-out=BoT&-out=V21&-out=cz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/155/rc3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/155/rc3
#-order=I
#-out=RA2000
#-out=DE2000
#-out=name
#-out=altname
#-out=PGC
#-out=type
#-out=T
#-out=lumcl
#-out=D25
#-out=R25
#-out=PA
#-out=BT
#-out=BT_code
#-out=BoT
#-out=V21
#-out=cz
#

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	type	(a7)	Type	[ucd=src.morph.type]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	lumcl	(F4.1)	? Luminosity class (file "\begin{tex}\vFile{VII/155/./mtypes.tex}{mtypes.tex}\end{tex}")	[ucd=src.class.luminosity]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	BT_code	(A1)	? BT code	[ucd=meta.code]
#Column	BoT	(F5.2)	? BoT	[ucd=phot.mag;em.opt.B]
#Column	V21	(I5)	? V21 (heliocentric radial velocity) [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	cz	(I5)	? Vopt= cz [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#RA2000;DE2000;name;altname;PGC;type;T;lumcl;D25;R25;PA;BT;BT_code;BoT;V21;cz
#"h:m:s";"d:m:s"; ; ; ; ; ; ;[0.1arcmin]; ;deg;mag; ;mag;km/s;km/s
#----------;---------;------------;---------------;-----------;-------;----;----;-----;-----;---;-----;-;-----;-----;-----
00 37 56.3;+04 54 42;            ; MCG  1- 2- 38 ;PGC 2266   ;.S?....;    ;    ; 0.94; 0.68;   ;     ; ;14.22; 8490;
00 37 57.5;+08 38 02;NGC   180   ; UGC   380     ;PGC 2268   ;.SBT4..; 4.0;    ; 1.38; 0.09;160;     ; ;13.35; 5264; 5251
00 37 57.6;-09 15 14;            ; MCG -2- 2- 73 ;PGC 2269   ;.SXS6..; 6.0; 3.1; 1.16; 0.08;   ;     ; ;     ;     ;
00 38 02.5;-46 31 06;            ; ESO  242- 20  ;PGC 2274   ;.SBS8..; 8.0; 6.7; 1.21; 0.15;141;     ; ;13.94;     ; 3329
00 38 12.0;-55 38 00;            ;               ;PGC 2277   ;.LBT+..;-1.0;    ; 1.15; 0.21;   ;     ; ;     ;     ;
00 38 12.5;+02 43 44;NGC   182   ; UGC   382     ;PGC 2279   ;PSXT1P*; 1.3;    ; 1.30; 0.08; 75;13.27; ;13.16; 5261; 5217
00 38 21.9;+32 38 12;            ; UGC   384     ;PGC 2286   ;.SXT7..; 7.0;    ; 1.18; 0.03;   ;     ; ;14.17; 4702;
00 38 23.4;+29 28 22;NGC   181   ; MCG  5- 2- 32 ;PGC 2287   ;.S?....;    ;    ; 0.74; 0.49;   ;     ; ;     ; 5535;
00 38 23.5;+15 02 22;A   0035+14 ; UGC   386     ;PGC 2288   ;.L.....;-2.0;    ; 1.16; 0.20;170;     ; ;14.35;     ; 5463
00 38 24.6;+13 29 08;            ; UGC   385     ;PGC 2290   ;.S?....;    ;    ; 1.32; 0.45; 64;     ; ;14.02;     ;11100
00 38 25.3;+03 09 59;NGC   186   ; UGC   390     ;PGC 2291   ;.LB.+P*;-0.7;    ; 1.14; 0.22; 23;     ; ;     ;     ;
00 38 27.9;+29 37 29;            ; MCG  5- 2- 31 ;PGC 2294   ;.S?....;    ;    ; 0.94; 0.40;   ;     ; ;14.45; 5657;
00 38 29.1;+29 30 42;NGC   183   ; UGC   387     ;PGC 2298   ;.E.....;-5.0;    ; 1.32; 0.11;130;13.74; ;13.27;     ; 5296
00 38 32.0;+30 17 19;            ; UGC   388     ;PGC 2302   ;.S..6*.; 6.0;    ; 1.07; 0.26;  3;     ; ;     ; 5405;
00 38 32.9;-24 20 25;IC   1561   ; ESO  474-  8  ;PGC 2305   ;.SB?...;    ;    ; 1.09; 0.36; 97;     ; ;14.30;     ; 3912
00 38 34.9;-24 16 31;IC   1562   ; ESO  474-  9  ;PGC 2308   ;.SBS5..; 5.0; 2.2; 1.21; 0.03;   ;     ; ;13.41;     ; 3659
00 38 35.4;+29 26 49;NGC   184   ; CGCG 500- 59  ;PGC 2309   ;       ;    ;    ; 0.86; 0.59;   ;     ; ;15.37; 5289;
00 38 39.8;+17 24 10;            ; UGC   393     ;PGC 2312   ;.S..8*.; 8.0;    ; 1.32; 0.71;170;     ; ;     ; 5434;
00 38 43.4;+41 59 48;            ; UGC   394     ;PGC 2314   ;.SX.8..; 8.0;    ; 1.30; 0.40;  5;     ; ;14.35; 5610; 5590
00 38 47.5;+25 42 51;            ; CGCG 479- 50  ;PGC 2316   ;       ;    ;    ;     ;     ;   ;     ; ;15.37; 7245;
00 38 47.9;+32 25 02;            ; CGCG 500- 60  ;PGC 2317   ;       ;    ;    ;     ;     ;   ;     ; ;14.93;11263;
00 38 54.6;+07 03 27;            ; UGC   397     ;PGC 2324   ;.S..2..; 2.0;    ; 0.96; 0.08;   ;14.94;S;14.63;     ;11195
00 38 54.8;+07 03 22;            ; MCG  1- 2- 42 ;PGC 2325   ;.L?....;    ;    ; 0.42; 0.00;   ;15.67;S;15.39;12100;12233
00 38 54.0;+25 38 00;            ; UGC   398     ;PGC 2327   ;.SAR1..; 1.0;    ; 1.12; 0.10; 25;     ; ;14.06; 4612;
00 38 58.0;+48 20 18;NGC   185   ; UGC   396     ;PGC 2329   ;.E.3.P.;-5.0;    ; 2.07; 0.07; 35;10.10;M; 9.28;     ; -251
00 38 59.7;-09 00 10;NGC   191   ; MCG -2- 2- 77 ;PGC 2331   ;.SXT5*P; 5.0;    ; 1.17; 0.08;   ;     ; ;     ;     ;
00 39 00.2;-09 00 52;IC   1563   ; MCG -2- 2- 76 ;PGC 2332   ;.L...P/;-2.0;    ; 0.83; 0.28;   ;     ; ;     ;     ;
00 39 04.1;-18 36 37;NGC   209   ; ESO  540-  8  ;PGC 2338   ;.LA.-P*;-3.0;    ; 1.14; 0.08;   ;     ; ;13.78;     ; 3931
00 39 00.0;+06 01 00;IC   1564   ; UGC   399     ;PGC 2342   ;.SX.4*.; 4.0;    ; 0.99; 0.32; 83;     ; ;14.10; 5269;
00 39 08.4;-14 10 23;NGC   178   ; MCG -2- 2- 78 ;PGC 2349   ;.SBS9..; 9.0; 7.5; 1.31; 0.32;175;13.10; ;12.60; 1449; 1485
00 39 10.2;-08 23 50;            ;               ;PGC 2350   ;.S?....;    ;    ;     ;     ;   ;16.02;S;     ;     ;
00 39 11.1;-08 24 01;            ;               ;PGC 2351   ;.E?....;    ;    ;     ;     ;   ;15.65;S;     ;     ;
00 39 13.5;+00 51 43;NGC   192   ; UGC   401     ;PGC 2352   ;PSBR1*.; 1.0;    ; 1.28; 0.33;167;13.42;M;13.08;     ; 4210
00 39 13.8;-08 23 39;            ;               ;PGC 2353   ;.L?....;    ;    ;     ;     ;   ;15.73;S;15.43;     ;11669
00 39 15.4;-43 04 31;            ; ESO  242- 23  ;PGC 2356   ;.S..5P.; 5.0;    ; 1.19; 0.46;128;     ; ;13.15;     ; 3988
00 39 17.8;+00 54 44;NGC   196   ; UGC   405     ;PGC 2357   ;.LB..P*;-2.2;    ; 1.13; 0.22; 15;13.80;M;13.74;     ; 4238
00 39 18.1;-27 20 55;            ; ESO  411-  3  ;PGC 2358   ;.SAT3*.; 3.0; 3.9; 1.14; 0.43; 58;     ; ;13.90;     ; 6884
00 39 18.3;+03 19 53;NGC   193   ; UGC   408     ;PGC 2359   ;.LXS-*.;-2.5;    ; 1.16; 0.08; 55;13.25; ;13.41;     ; 4327
00 39 17.9;+13 05 58;            ; UGC   404     ;PGC 2360   ;.S..8*.; 8.0;    ; 1.04; 0.38; 40;     ; ;     ;10618;
00 39 18.4;+03 02 10;NGC   194   ; UGC   407     ;PGC 2362   ;.E.....;-5.0;    ; 1.19; 0.04; 30;13.15; ;13.21;     ; 5150
00 39 18.4;-29 56 44;            ; ESO  411-  4  ;PGC 2363   ;.L?....;    ;    ; 0.88; 0.04;   ;     ; ;15.13;     ; 7109
00 39 18.6;+29 39 28;            ; UGC   400     ;PGC 2364   ;.S?....;    ;    ; 0.88; 0.01;   ;     ; ;14.77; 5507;
00 39 18.9;+00 53 31;NGC   197   ; UGC   406     ;PGC 2365   ;.LB.0P.;-2.0;    ; 1.07; 0.16;  5;14.80;M;14.74;     ; 4192
00 39 18.9;+03 57 29;            ; UGC   402     ;PGC 2366   ;.L.....;-2.0;    ; 1.11; 0.10; 20;     ; ;     ;     ;
00 39 21.0;-18 55 08;            ; ESO  540-  9  ;PGC 2369   ;.S?....;    ;    ; 1.06; 0.26;165;     ; ;14.13;     ; 3927
00 39 18.0;+04 33 00;            ; UGC   409     ;PGC 2370   ;.S..8*.; 8.0;    ; 1.00; 0.18; 40;     ; ;14.91; 5167;
00 39 23.0;+02 47 51;NGC   198   ; UGC   414     ;PGC 2371   ;.SAR5..; 5.0; 3.1; 1.09; 0.02; 80;     ; ;13.78;     ; 5262
00 39 18.0;+06 43 00;IC   1565   ; UGC   410     ;PGC 2372   ;.S?....;    ;    ; 1.18; 0.00;   ;     ; ;14.08;     ;11150
00 39 24.8;+25 15 11;            ; CGCG 479- 54  ;PGC 2374   ;       ;    ;    ;     ;     ;   ;     ; ;14.85; 4638;
00 39 29.9;+25 38 39;            ; UGC   411     ;PGC 2377   ;.E?....;    ;    ; 1.08; 0.12;100;     ; ;14.03;     ; 4614
00 39 30.3;-14 39 23;NGC   187   ; MCG -3- 2- 34 ;PGC 2380   ;.SBS6..; 6.0; 5.3; 1.11; 0.43;148;     ; ;     ; 3947;
00 39 30.6;+29 45 45;            ; UGC   412     ;PGC 2381   ;.S..0..; 0.0;    ; 0.96; 0.69; 11;     ; ;14.76; 5484;
00 39 33.2;+03 08 19;NGC   199   ; UGC   415     ;PGC 2382   ;.LA.0P*;-1.5;    ; 1.09; 0.23;160;     ; ;     ;     ;
00 39 33.7;-35 48 20;            ; ESO  351-  1  ;PGC 2383   ;.SBS5*/; 5.0;    ; 1.11; 0.91; 25;     ; ;     ;     ;
00 39 30.0;+03 56 00;            ; UGC   416     ;PGC 2384   ;.SX.8*.; 8.0;    ; 1.06; 0.10; 10;     ; ;     ; 4744;
00 39 34.7;-20 23 02;            ; ESO  540- 10  ;PGC 2386   ;.SBS6..; 6.0; 5.6; 1.07; 0.21;131;     ; ;15.11;     ; 3954
00 39 34.7;+02 53 19;NGC   200   ; UGC   420     ;PGC 2387   ;.SBS4..; 4.0; 0.8; 1.27; 0.28;161;13.48; ;13.07; 5169; 5140
00 39 35.0;+00 51 35;NGC   201   ; UGC   419     ;PGC 2388   ;.SXR5..; 4.5; 3.1; 1.26; 0.10;155;13.57;M;13.46;     ; 4366
00 39 36.0;+08 57 00;            ; UGC   418     ;PGC 2390   ;.S..3..; 3.0; 4.5; 1.33; 0.94; 98;     ; ;13.43;     ; 4545
00 39 35.9;-09 11 42;NGC   195   ; MCG -2- 2- 79 ;PGC 2391   ;RSBR1*.; 1.0;    ; 1.03; 0.15;   ;     ; ;     ;     ; 4918
00 39 39.6;+03 26 34;NGC   203   ; MCG  0- 2-114 ;PGC 2393   ;.L..0P*;-2.0;    ; 0.93; 0.49; 85;     ; ;     ;     ;
00 39 39.8;+03 32 13;NGC   202   ; UGC   421     ;PGC 2394   ;.LBS+?.;-1.0;    ; 0.95; 0.49;153;     ; ;     ;     ;
00 39 36.0;+09 00 00;            ; UGC   422     ;PGC 2396   ;.SB?...;    ;    ; 1.06; 0.09;   ;     ; ;14.21;     ; 4656
00 39 44.3;+03 17 58;NGC   204   ; UGC   423     ;PGC 2397   ;.LAS0P*;-2.0;    ; 1.08; 0.02; 30;13.80; ;     ;     ;
00 39 45.3;+33 09 28;            ; CGCG 500- 65  ;PGC 2398   ;       ;    ;    ;     ;     ;   ;     ; ;14.48; 8818;
00 39 48.0;+21 12 00;            ; MCG  3- 2- 22 ;PGC 2402   ;.S?....;    ;    ; 0.69; 0.05;   ;     ; ;14.98;     ; 9135
00 40 04.1;-30 35 50;            ; ESO  411-  6  ;PGC 2411   ;.SBT4P.; 4.2; 2.2; 1.15; 0.12;140;     ; ;14.86;     ;15102
00 40 11.1;+22 42 59;            ; UGC   425     ;PGC 2416   ;.SB?...;    ;    ; 0.81; 0.15;   ;     ; ;14.27;     ; 5878
00 40 12.8;-56 09 08;NGC   212   ; ESO  150- 18  ;PGC 2417   ;.LA.-..;-3.0;    ; 1.11; 0.09;131;     ; ;     ;     ;
00 40 17.5;+02 45 22;NGC   208   ; MCG  0- 2-118 ;PGC 2420   ;.SAR1?.; 1.0;    ; 0.87; 0.03;   ;     ; ;     ;     ;
00 40 21.3;+50 19 57;            ; UGC   427     ;PGC 2427   ;.S..6*.; 6.0;    ; 1.14; 0.39; 64;     ; ;13.32; 5293;
00 40 22.5;+41 41 11;NGC   205   ; UGC   426     ;PGC 2429   ;.E.5.P.;-5.0;    ; 2.34; 0.30;170; 8.92;M; 8.79; -232; -254
00 40 24.0;+06 54 00;            ; UGC   429     ;PGC 2431   ;.L...*.;-2.0;    ; 1.15; 0.14;120;     ; ;     ;     ;
00 40 29.6;+25 01 34;A   0037+24 ; CGCG 479- 58  ;PGC 2432   ;       ;    ;    ;     ;     ;   ;     ; ;14.93;     ; 4500
00 40 31.9;-45 59 08;            ; ESO  242- 24  ;PGC 2433   ;PSBS0*/;-0.4;    ; 1.18; 0.52; 39;     ; ;14.07;     ; 3657
00 40 30.0;+03 14 00;            ; UGC   430     ;PGC 2435   ;.S..6*.; 6.0;    ; 1.09; 0.59; 44;     ; ;     ;     ;
00 40 34.9;-13 52 26;NGC   210   ; MCG -2- 2- 81 ;PGC 2437   ;.SXS3..; 3.0; 1.1; 1.70; 0.18;165;11.60; ;11.32; 1634; 1735
00 40 36.0;-00 18 00;IC   1571   ; UGC   432     ;PGC 2440   ;.S..3..; 3.0; 2.5; 1.06; 0.10;  0;     ; ;14.25; 5841;
00 40 43.1;-81 34 03;            ; ESO   12- 22  ;PGC 2444   ;.SBS4..; 4.0; 3.3; 1.03; 0.30;138;     ; ;     ;     ;
00 40 43.7;-63 26 38;            ; ESO   79-  5  ;PGC 2445   ;.SBT7P*; 6.6; 6.7; 1.35; 0.32;  0;     ; ;13.27;     ; 1771
00 40 47.9;-79 14 27;            ; ESO   12- 21  ;PGC 2450   ;       ;    ;    ; 0.97; 0.61;137;     ; ;14.02;     ; 9000
00 40 48.5;-56 12 51;NGC   215   ; ESO  150- 19  ;PGC 2451   ;.LA.-..;-3.0;    ; 1.04; 0.10;120;     ; ;13.93;     ; 8229
00 41 02.3;+31 44 07;            ; UGC   433     ;PGC 2458   ;.S..6*.; 6.0;    ; 1.25; 0.79; 74;     ; ;13.18; 4656;
00 41 06.0;+50 44 00;            ; UGC   434     ;PGC 2461   ;.S..4..; 4.0;    ; 1.04; 0.29;103;     ; ;     ; 5180;
00 41 12.3;-21 07 57;A   0038-21 ; ESO  540- 14  ;PGC 2464   ;.E+..P?;-4.4;    ; 0.76; 0.27;   ;     ; ;     ;     ;
00 41 12.6;-13 32 48;            ; MCG -2- 2- 83 ;PGC 2465   ;.IBS9..;10.0; 7.5; 1.16; 0.02;   ;     ; ;     ;     ;
00 41 10.0;+16 28 08;NGC   213   ; UGC   436     ;PGC 2469   ;.SBT1..; 1.0;    ; 1.22; 0.06;   ;     ; ;14.00; 5448;
00 41 21.7;-01 42 50;A   0038-01 ; UGC   439     ;PGC 2472   ;PSBR1P*; 1.0;    ; 1.05; 0.02;170;13.80; ;13.88;     ; 5246
00 41 18.0;+03 29 00;            ; UGC   437     ;PGC 2473   ;.S..9..; 9.0;    ; 0.96; 0.00;   ;     ; ;     ; 4670;
00 41 26.9;-21 02 45;NGC   216   ; ESO  540- 15  ;PGC 2478   ;.L..0?/;-2.0;    ; 1.31; 0.47; 27;13.72; ;13.57; 1557; 1573
00 41 28.2;+25 29 59;NGC   214   ; UGC   438     ;PGC 2479   ;.SXR5..; 5.0; 1.1; 1.27; 0.13; 35;12.97; ;12.63; 4533; 4495
00 41 33.9;+29 31 03;            ; CGCG 500- 68  ;PGC 2481   ;       ;    ;    ;     ;     ;   ;     ; ;15.14; 5253;
00 41 33.9;-10 01 20;NGC   217   ; MCG -2- 2- 85 ;PGC 2482   ;.S..0*/; 0.0;    ; 1.42; 0.63;115;     ; ;     ;     ; 4001
00 41 37.8;+29 12 09;            ; CGCG 500- 69  ;PGC 2483   ;       ;    ;    ;     ;     ;   ;     ; ;15.12; 6978;
00 41 42.0;+10 49 00;            ; UGC   441     ;PGC 2488   ;.S?....;    ;    ; 0.96; 0.10;   ;     ; ;     ;11775;
00 41 45.4;-16 51 39;            ; MCG -3- 2- 40 ;PGC 2492   ;.SBS7..; 6.5; 5.3; 1.20; 0.17;172;     ; ;     ; 1550;
00 41 45.0;+36 21 25;NGC   218   ; UGC   440     ;PGC 2493   ;.S?....;    ;    ; 1.05; 0.01;   ;     ; ;14.77; 4894;
00 41 50.5;-09 18 15;            ; MCG -2- 2- 86 ;PGC 2501   ;.LBR0P?;-2.0;    ; 1.11; 0.04;   ;14.71; ;14.36;     ;16728
00 41 51.5;+32 59 26;            ; UGC   442     ;PGC 2504   ;.SAT7..; 7.0;    ; 1.22; 0.30;175;     ; ;14.20; 4930;
00 41 57.1;-32 58 16;            ; ESO  351-  2  ;PGC 2510   ;.S?....;    ;    ; 1.02; 0.17; 93;     ; ;15.49;     ; 9621
00 42 01.4;+25 34 06;            ; CGCG 479- 60  ;PGC 2514   ;       ;    ;    ;     ;     ;   ;     ; ;15.14;10151;
00 42 04.7;+36 48 15;            ; UGC   444     ;PGC 2517   ;.S?....;    ;    ; 1.06; 0.16;160;     ; ;13.41;     ;10693
00 42 07.7;+33 24 16;            ; UGC   443     ;PGC 2520   ;.S..6*.; 6.0;    ; 1.00; 0.55;  0;     ; ;14.31; 6245;
00 42 11.3;+00 54 14;NGC   219   ; MCG  0- 2-128 ;PGC 2522   ;CE...?.;-5.0;    ; 0.73; 0.03; 60;     ; ;15.24;     ; 5492
00 42 14.9;-11 28 20;            ; MCG -2- 2- 92 ;PGC 2525   ;.LAT-*.;-3.0;    ; 1.13; 0.24;   ;     ; ;     ;     ; 5911
00 42 14.9;-18 09 40;A   0039-18 ; ESO  540- 16  ;PGC 2526   ;.SBS6?/; 6.0; 5.6; 1.43; 0.95; 76;     ; ;12.82; 1555; 1641
00 42 16.0;+00 50 41;NGC   223   ; UGC   450     ;PGC 2527   ;PSBR0*.; 0.0;    ; 1.10; 0.17; 62;     ; ;13.98;     ; 5355
00 42 22.0;+29 38 29;IC     43   ; UGC   448     ;PGC 2536   ;.SX.5..; 5.0; 3.7; 1.20; 0.04;   ;13.94; ;13.71; 4858; 4915
00 42 22.6;+29 41 50;IC     45   ; UGC   449     ;PGC 2537   ;.S?....;    ;    ; 0.97; 0.60; 51;     ; ;14.21; 5281;
00 42 27.5;-23 37 46;NGC   230   ; ESO  474- 14  ;PGC 2539   ;.S.1?P/; 1.0;    ; 1.03; 0.75; 44;     ; ;     ;     ;
00 42 27.7;+33 11 06;            ; UGC   446     ;PGC 2540   ;.I..9..;10.0;    ; 1.04; 0.08;   ;     ; ;     ; 6263;
00 42 30.0;+40 34 00;And IV      ;               ;PGC 2544   ;       ;    ;    ;     ;     ;   ;     ; ;     ; -373;
00 42 36.5;-01 31 36;NGC   227   ; UGC   456     ;PGC 2547   ;.L..-P*;-3.4;    ; 1.21; 0.11;155;13.11; ;12.89;     ; 5305
00 42 40.2;+29 52 26;            ; UGC   453     ;PGC 2553   ;.S..6*.; 6.0;    ; 1.07; 0.79;173;     ; ;     ; 4851;
00 42 41.9;+40 51 55;NGC   221   ; UGC   452     ;PGC 2555   ;CE.2...;-6.0;    ; 1.94; 0.13;170; 9.03;M; 8.72;     ; -205
00 42 44.4;+41 16 08;NGC   224   ; UGC   454     ;PGC 2557   ;.SAS3..; 3.0; 2.2; 3.28; 0.49; 35; 4.36;M; 3.36; -300; -295
00 42 45.5;-23 33 40;NGC   232   ; ESO  474- 15  ;PGC 2559   ;.SBR1?P; 1.0;    ; 0.98; 0.09;   ;     ; ;14.15;     ; 6673
00 42 47.3;+23 29 21;            ; MCG  4- 2- 47 ;PGC 2562   ;.S?....;    ;    ; 0.82; 0.46;   ;     ; ;14.92; 7327;
00 42 48.0;+23 29 00;NGC   228   ; UGC   458     ;PGC 2563   ;RSBR2..; 2.0;    ; 1.08; 0.05;   ;     ; ;14.38; 7314;
00 42 52.5;-23 32 28;NGC   235   ; ESO  474- 16  ;PGC 2569   ;.L...P.;-2.0;    ; 1.12; 0.28;117;14.08; ;13.97;     ; 6664
00 42 53.5;-23 32 40;NGC   235A  ; ESO  474- 17  ;PGC 2570   ;.E.0.?P;-5.0;    ; 0.55; 0.00;   ;     ; ;13.78;     ; 6798
00 42 53.7;+33 31 27;            ; UGC   457     ;PGC 2571   ;.S..4..; 4.0;    ; 1.04; 0.76;  6;     ; ;14.07; 6245; 5898
00 42 54.1;+32 34 46;NGC   226   ; UGC   459     ;PGC 2572   ;.S?....;    ;    ; 0.96; 0.00;   ;     ; ;13.97; 4825; 4907
00 42 58.0;+27 15 02;IC     46   ; CGCG 479- 63  ;PGC 2575   ;.L?....;    ;    ; 0.77; 0.08;   ;     ; ;14.49; 5287;
00 43 03.5;-22 14 35;IC   1574   ; ESO  474- 18  ;PGC 2578   ;.IBS9..; 9.7; 9.5; 1.33; 0.44;175;14.32; ;13.97;  358;
00 43 07.1;-77 40 17;            ; ESO   12- 24  ;PGC 2579   ;.S..5*/; 4.5;    ; 1.12; 0.84;  9;     ; ;     ;     ;
00 43 12.0;-09 12 00;            ;               ;PGC 2582   ;       ;    ;    ;     ;     ;   ;16.00; ;     ;     ;
00 43 18.0;+00 00 00;            ;               ;PGC 2591   ;       ;    ;    ;     ;     ;   ;16.85; ;16.48;     ;24670
00 43 22.0;-55 19 41;            ; ESO  150- 20  ;PGC 2592   ;PSBR4*.; 3.7; 2.2; 1.24; 0.42;  5;     ; ;13.77;     ; 7938
00 43 23.7;+50 40 39;            ; UGC   460     ;PGC 2593   ;.S..6*.; 6.0;    ; 1.04; 0.18;115;     ; ;12.55; 5219;
00 43 25.9;-38 45 23;            ; ESO  295-  2  ;PGC 2594   ;.LXS0P.;-2.0;    ; 1.04; 0.13; 39;     ; ;14.82;     ;11868
00 43 26.0;-50 11 05;NGC   238   ; ESO  194- 31  ;PGC 2595   ;PSBR3P.; 3.1;    ; 1.29; 0.09; 93;13.14; ;12.95;     ; 8621
00 43 27.3;+02 57 25;NGC   236   ; UGC   462     ;PGC 2596   ;.SXS5..; 5.0; 3.1; 1.06; 0.06;160;     ; ;14.03; 5643; 5648
00 46 50.8;+26 28 28;            ; UGC   483     ;PGC 2739   ;.I..9?.;10.0;    ; 1.07; 0.50; 69;     ; ;14.97; 4956;
00 43 28.2;-00 07 25;NGC   237   ; UGC   461     ;PGC 2597   ;.SXT6..; 6.0; 2.4; 1.20; 0.24;175;13.70; ;13.07; 4175; 4109
00 43 28.5;-06 20 58;            ; MCG -1- 2- 49 ;PGC 2598   ;.S..4./; 3.5;    ; 1.26; 0.72;   ;     ; ;     ;     ; 5831
00 43 32.5;+14 20 35;NGC   234   ; UGC   463     ;PGC 2600   ;.SXT5..; 5.0;    ; 1.21; 0.00;   ;     ; ;13.02; 4452; 4449
00 43 34.4;-08 11 13;IC     48   ; MCG -1- 3-  1 ;PGC 2603   ;.LXT0P?;-2.2;    ; 0.99; 0.09;   ;13.98; ;13.73;     ; 6039
00 43 36.6;+30 35 15;NGC   233   ; UGC   464     ;PGC 2604   ;.E...?.;-5.0;    ; 1.22; 0.03;   ;     ; ;13.20;     ; 5451
00 43 45.2;-24 25 17;            ; ESO  474- 19  ;PGC 2611   ;.SB?...;    ;    ; 1.06; 0.23; 43;     ; ;15.33;     ; 6795
00 43 51.1;+32 51 11;            ; UGC   465     ;PGC 2614   ;.SB.1..; 1.0;    ; 1.22; 0.58;178;     ; ;13.48; 4772; 4758
00 43 51.9;+00 48 04;            ; UGC   466     ;PGC 2615   ;.SBS1P?; 1.0;    ; 1.13; 0.29;165;     ; ;14.54; 5460;
00 43 54.3;-04 14 43;            ; MCG -1- 3-  5 ;PGC 2616   ;PS..5*.; 4.5; 4.2; 1.18; 0.52;   ;     ; ;     ;     ;
00 43 56.1;+01 50 53;IC     49   ; UGC   468     ;PGC 2617   ;.SXS5..; 5.0; 3.9; 1.18; 0.07; 95;14.20; ;13.93; 4562; 4571
00 44 00.8;-76 35 23;            ; ESO   29-  7  ;PGC 2619   ;PSBR3..; 2.8;    ; 1.12; 0.15; 85;     ; ;     ;     ; 7850
00 44 00.0;+26 11 00;            ; UGC   469     ;PGC 2621   ;.S?....;    ;    ; 1.17; 0.67;131;     ; ;13.86;10081;
00 44 04.8;+28 52 35;            ; UGC   467     ;PGC 2622   ;.S..8..; 8.0;    ; 1.11; 0.44;140;     ; ;     ; 4828;
00 44 12.0;+26 50 00;            ; UGC   470     ;PGC 2627   ;.I..9*.;10.0;    ; 0.99; 0.40;160;     ; ;14.33; 5190;
00 44 12.0;-12 35 00;            ; MCG -2- 3-  4 ;PGC 2629   ;.S?....;    ;    ; 1.04; 0.66;   ;     ; ;     ;     ; 6493
00 44 18.0;-59 50 00;            ;               ;PGC 2633   ;       ;    ;    ;     ;     ;   ;     ; ;     ;     ;
00 44 22.9;-17 21 16;            ; ESO  540- 17A ;PGC 2634   ;.L...P*;-2.0;    ; 1.28; 0.53;   ;     ; ;     ;     ;
00 44 21.7;-17 21 04;            ; ESO  540- 17B ;PGC 2635   ;.L..+P*;-1.0;    ; 1.15; 0.53;128;     ; ;14.78;     ; 9290
00 44 37.6;-03 45 35;NGC   239   ; MCG -1- 3-  7 ;PGC 2642   ;PS..2..; 2.0;    ; 1.00; 0.33;   ;     ; ;     ;     ;
